deviceid,x,y,pm25,norm x,norm y,prediction
1,0,0,197,61.84627195,36.59592897,193.1358212
2,0.1856,-0.1223,207,70.75136743,26.00259853,205.3567334
3,-0.08752,0.2046,155,57.64705882,54.31788653,149.5765477
4,-0.01348,0.08784,181,61.19950101,44.2044175,178.5934753
5,0.3204,0.2857,138,77.21907686,61.34257254,145.6934116
6,-0.4921,0.2909,149,38.23529412,61.79298398,149.8436161
9,-0.01348,0.08784,179,61.19950101,44.2044175,177.9619153
10,0.1465,-0.3336,201,68.87534786,7.700303162,207.0433266
11,0.3712,-0.1223,181,79.65646291,26.00259853,183.5854372
12,-0.9344,0.2304,186,17.01372229,56.55262018,187.7494281
13,-0.9507,0.6052,181,16.23164763,89.01689043,
14,-0.4102,0.04448,202,42.16485942,40.44867908,
17,0.3182,0.2835,191,77.11352078,61.15201386,
18,-0.547,-0.07784,186,35.6011899,29.85361628,
20,0.6251,-0.2446,152,91.83859514,15.40926808,
21,0.5256,0.03858,127,87.06458113,39.93763534,128.1635967
25,0.08547,0.25,156,65.947126,58.25032482,
26,0.7952,-0.3113,106,100,9.631875271,95.96422468
27,-0.8099,0.732,201,22.98723731,100,
28,0.2637,-0.4225,255,74.49860858,0,254.8562182
29,0.5571,-0.4211,147,88.5759524,0.1212646167,
30,-1.289,0.2728,164,0,60.22520572,
31,-1.061,-0.1123,163,10.93944919,26.86877436,
32,0.1856,-0.1223,203,70.75136743,26.00259853,223.8753244
33,-0.7326,0.07784,119,26.69609442,43.33824166,
35,-0.6447,0.3669,113,30.91353997,68.37592031,
36,0.2149,-0.189,155,72.15718261,20.22520572,
37,-0.009768,-0.2004,146,61.37760292,19.23776527,145.073245
39,0.07814,-0.2446,168,65.5954323,15.40926808,
41,0.1172,-0.2446,234,67.46953267,15.40926808,231.4019709
42,-0.5275,0.2669,211,36.53680069,59.71416197,182.8445699
43,0.1563,-0.3336,203,69.34555225,7.700303162,210.7204048
44,0.2149,-0.3669,177,72.15718261,4.815937635,157.7012659