DateTime,deviceid,macid,Latitude,Longitude,Location,pm1,pm25,pm10,telaireco2,temperature,humidity,pressure,ccs811co2,tvoc,x,y
2019-11-09 00:00:43,1,,28.543302,77.193242,,88,140,148,0,28.95,44.51,987.62,0.0,0.0,0,0
2019-11-09 00:00:04,3,,28.545142,77.192346,,93,143,149,0,29.24,43.64,989.82,0.0,0.0,-0.08752,0.2046
2019-11-09 00:00:00,4,,28.544092,77.193104,,95,149,156,0,29.08,42.19,985.39,0.0,0.0,-0.01348,0.08784
2019-11-09 00:00:06,5,,28.545871,77.196522,,98,152,168,0,25.0,71.56,989.81,0.0,0.0,0.3204,0.2857
2019-11-09 00:00:10,6,,28.545918,77.188204,,84,131,138,0,27.84,45.73,988.93,0.0,0.0,-0.4921,0.2909
2019-11-09 00:01:00,9,,28.544092,77.193104,,98,162,171,0,25.18,57.67,988.5,0.0,0.0,-0.01348,0.08784
2019-11-09 00:00:53,12,,28.545374,77.183676,,66,103,107,0,26.08,53.35,988.95,0.0,0.0,-0.9344,0.2304
2019-11-09 00:00:14,13,,28.548745,77.183509,,97,147,156,0,28.43,44.54,988.61,0.0,0.0,-0.9507,0.6052
2019-11-09 00:00:31,15,,28.548237,77.187845,,106,164,171,0,24.72,58.7,988.47,0.0,0.0,-0.5272,0.5487
2019-11-09 00:00:11,16,,28.543610,77.191200,,86,136,151,0,26.29,54.4,988.68,0.0,0.0,-0.1995,0.03425
2019-11-09 00:00:05,17,,28.545852,77.196500,,105,159,163,0,24.71,59.01,989.89,0.0,0.0,0.3182,0.2835
2019-11-09 00:00:55,19,,28.547614,77.185835,,75,109,114,0,36.93,27.94,987.05,0.0,0.0,-0.7235,0.4795
2019-11-09 00:00:08,21,,28.543649,77.198623,,31,51,64,0,31.76,39.0,987.59,0.0,0.0,0.5256,0.03858
2019-11-09 00:00:35,22,,28.546391,77.191872,,90,142,151,0,27.76,49.8,989.87,0.0,0.0,-0.1338,0.3435
2019-11-09 00:00:56,23,,28.546264,77.182464,,98,157,165,0,26.86,46.58,984.7,0.0,0.0,-1.053,0.3294
2019-11-09 00:00:10,24,,28.545437,77.197162,,93,156,163,0,27.71,49.92,989.17,0.0,0.0,0.3829,0.2374
2019-11-09 00:00:47,25,,28.545550,77.194117,,86,150,160,0,26.75,53.42,989.26,0.0,0.0,0.08547,0.2500
2019-11-09 00:00:19,27,,28.549885,77.184951,,115,185,190,0,26.08,49.66,987.32,0.0,0.0,-0.8099,0.7320
2019-11-09 00:00:18,29,,28.539515,77.198945,,81,129,136,0,25.58,52.57,987.02,0.0,0.0,0.5571,-0.4211
2019-11-09 00:00:08,30,,28.545755,77.180049,,81,130,139,0,25.72,51.37,987.64,0.0,0.0,-1.289,0.2728
2019-11-09 00:00:30,31,,28.542292,77.182379,,73,118,129,0,24.36,53.93,988.89,0.0,0.0,-1.061,-0.1123